Order_Quantity,Net_price,dubai_marker,premium,api_60F,water_vol_perc,water_mass_perc,sulfur_mass_perc,salt_lbs_per_kbbl,mechanical_impur_mass_perc,mechanical_impur_vol_perc
712456.56,47.57,42.465,5.105,35.57,0.279345,0.33,0.268,24.2,0.013,0.006
698939.67,47.57,42.465,5.105,35.68,0.15228,0.18,0.268,23.4,0.009,0.004
707289.43,47.97,42.465,5.505,35.58,0.25395,0.3,0.27,23.6,0.012,0.005
699357.17,47.46,43.33,4.13,35.75,0.109928,0.13,0.279,9.86,0.007,0.003
708490.22,47.78,43.33,4.45,35.08,0.21225,0.25,0.282,13.6,0.01,0.004
698881.08,47.41,43.33,4.08,35,0.16988,0.2,0.288,12,0.008,0.003
696949.01,53.41,48.985,4.425,35.45,0.36,0.43,0.272,22.6,0.014,0.006
697085.33,53.46,48.985,4.475,36.1,0.118146,0.14,0.274,7.63,0.01,0.004
695160.18,48.26,43.865,4.395,36.54,0.403968,0.48,0.254,22.9,0.013,0.005
700960.96,47.49,43.865,3.625,36.6,0.151452,0.18,0.249,12.8,0.007,0.003
709129.53,48.22,43.865,4.355,36.87,0.1176,0.14,0.232,8,0.007,0.003
683808.68,56.18,52.098,4.082,36.29,0.16858,0.2,0.285,9,0.009,0.004
709067.29,57.05,52.098,4.952,36.61,0.117782,0.14,0.255,6.7,0.005,0.002
704428.25,58.12,53.716,4.404,36.51,0.361802,0.43,0.246,18.7,0.012,0.005
705133.46,57.84,53.716,4.124,34.94,0.118958,0.14,0.292,6,0.004,0.002
701804.22,58.81,54.439,4.371,34.52,0.306684,0.36,0.297,18.8,0.01,0.004
664171.19,58.81,54.439,4.371,34.43,0.272736,0.32,0.298,16.5,0.013,0.006
665374.33,59.04,54.439,4.601,34.41,0.238672,0.28,0.297,14.9,0.009,0.003
700705.07,55.51,51.201,4.309,34.83,0.110539,0.13,0.301,6.5,0.006,0.003
695602.86,55.48,51.201,4.279,34.81,0.204096,0.24,0.297,11.7,0.009,0.004
698650.44,55.01,51.201,3.809,35.61,0.195,0.23,0.28,9.8,0.007,0.003
668468.22,56.67,52.293,4.377,35.18,0.08485,0.1,0.26,8.4,0.006,0.003
706136.7,56.04,52.293,3.747,35.94,0.397009,0.47,0.252,20.1,0.012,0.005
702722.98,52.43,52.293,0.137,35.73,0.321366,0.38,0.265,19,0.009809884,0.004231
698656.76,52.56,50.537,2.023,35.66,0.194603,0.23,0.272,10,0.008,0.003
698431.32,52.34,50.537,1.803,35.62,0.152334,0.18,0.26,7.9,0.006,0.003
330841.18,52.48,50.537,1.943,35.1,0.466895,0.55,0.285,21.3,0.013902405,0.005904351
381739.83,52.48,50.537,1.943,35.1,0.466895,0.55,0.285,21.3,0.013902405,0.005904351
712473.58,48.77,46.472,2.298,35.79,0.498786,0.59,0.261,17.6,0.01877155,0.007939427
709608.31,49.14,46.472,2.668,35.18,0.61092,0.72,0.28,25.4,0.016482771,0.006996112
348491.32,48.76,46.472,2.288,35.16,0.101832,0.12,0.264,5.6,0.008,0.003
350781.01,48.76,46.472,2.288,35.16,0.101832,0.12,0.264,5.6,0.008,0.003
350781.01,48.82,46.472,2.348,35.16,0.101832,0.12,0.264,5.6,0.008,0.003
708518.36,49.8,47.569,2.231,35.33,0.76302,0.9,0.283,36.8,0.034,0.014
694756.23,49.36,47.569,1.791,35.81,0.743864,0.88,0.267,42.3,0.026,0.011
706763.94,49.5,47.569,1.931,35.65,0.313057,0.37,0.262,16.8,0.011,0.005
697217.87,52.28,50.223,2.057,36.02,0.236404,0.28,0.273,11.1,0.018,0.008
708325.96,52.86,50.223,2.637,35.02,0.365199,0.43,0.276,19.3,0.013,0.006
663997.68,54.09,53.668,0.422,36.69,0.437268,0.52,0.232,20.2,0.011,0.005
708350.35,58.41,55.548,2.862,36.27,0.49737,0.59,0.246,24.7,0.021,0.009
698235,58.41,55.548,2.862,37.73,0.25074,0.3,0.224,13.8,0.01,0.004
698600.21,64.96,60.818,4.142,37.33,0.201048,0.24,0.234,10.6,0.01,0.004
665586.66,65.08,60.818,4.262,37.13,0.209675,0.25,0.235,13,0.011,0.005
697655.58,66.51,61.598,4.912,36.58,0.185108,0.22,0.249,10,0.006994404,0.002944295
698290.86,66.11,61.598,4.512,35.94,0.244934,0.29,0.256,12.6,0.009,0.004
706078.66,70.26,66.189,4.071,36.04,0.270144,0.32,0.266,13.8,0.008,0.003
696710.61,70.52,66.189,4.331,35.19,0.458136,0.54,0.272,22.6,0.019,0.008
299938.35,66.53,61.598,4.932,35.86,0.363393,0.43,0.255,16.5,0.013390338,0.005
397508.7,66.53,61.598,4.932,35.86,0.363393,0.43,0.255,16.5,0.013390338,0.005
696962.64,71.04,66.189,4.851,35.52,0.431868,0.51,0.277,24.8,0.011,0.005
704629.18,67.73,62.721,5.009,35.81,0.329667,0.39,0.269,17,0.012,0.005
700373.57,67.78,62.721,5.059,35.74,0.50742,0.6,0.244,24.3,0.015,0.006
